"pr_id","pr_model_code","pr_model_name","pr_star","pr_market","pr_write_id","pr_upload_date","pr_title","pt_text","pr_url","pr_valid"
"42","A2221","iphone11","5","11번가","ohm*****","2020-10-26",\n,"16시에 주문했는데 다음날 오전중에 도착했어요. 배송 엄청 빨랐고 상품도 완전 새상품이에요. 호기심에 제조일자 찾아봤더니 3주전에 만들어진 제품이라네요. 액정보호필름 서비스 신청했는데 기포나 들뜬 부분 없이 깔끔하게 부착해주셨고 다 마음에 듭니다. 제품 상자 안에 있던 먼지같은 게 제품에 묻어있어서 조금 아쉬웠지만 털어내면 상관없는거고 제품 자체는 대만족입니다. 아이폰6s 쓰다가 넘어왔는데 신세계네요. 추천합니다","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","N"
"43","A2221","iphone11","5","11번가","loo****","2020-03-16",\n,"당시에 쿠폰에 22개월 무이자에 싸게 잘샀습니다 
 
집까지 당일에 오셔서 개통해주시고 
 
늦은 저녁이었는데 너무감사했습니다. 
 
개통업무 원할하고 빨리 됐고, 
 
친절하세요ㅎ 
 
온가족 묶음이라 기변 뿐이 안되엇는데 
 
이럴땐 11번가가 최고인듯합니다. 
 
할부수수료 안내도 되고 무이자 22개월이면 
오히려 8만원? 9만원 할인받는것 같네요 
 
고민하신다믄 그냥 사세요","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"44","A2221","iphone11","5","인터파크","s*9*****","2020-05-13","덕분에 잘 구매했습니다","구매 전부터 문의에 친절하게 답변해주시고 구매할 때에도 상담 잘 해주셨어요  구매한 당일날 출고하셨고 다음날 배송왔습니다 개통도 배송받은 날 바로 신청해주셨어요  다만 개통하는 데에 제 문제로 조금 지체 됐었지만 판매자분께서 다시 처리해주셔서 해결된 당일 오후에 개통됐습니다 다른 분들은 별 문제 없는 한 빨리 개통될 것 같네요 폰 설정마치고 가입확인했는데 문제 없습니다 후기가 좋아서 여기서 산건데 잘 샀네요","https://search.shopping.naver.com/catalog/20858274127?NaPm=ct%3Dkmobnm2g%7Cci%3Dd95db462016e1a2839b14aa9439c5d66d16b50f2%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D20128091b84a28484993edef1a69e5baa2c2868c","N"
"45","A2221","iphone11","5","SSG닷컴","lo******","2020-02-07","테두리: 지문 묻는 실버  뒷면: ","테두리: 지문 묻는 실버 뒷면: 지문 묻지 않는 화이트 크기: 손에 착 감기는 맛용량: 64는 작고 128이 없어서 아쉬움배송: 일반적인 배송보다 느려서 목이 빠질 뻔페이스아이디: 지문인식에 길들여져 있어서 어색하지만 생각보다 인식이 잘 됨.. 안경을 껴도 잘 되고 어두워도 잘 되고 안 될 것 같은데도 인식이 잘 돼서 불안할 때가 있음...카메라: 어두운 곳에서 잘 찍혀서 감동받아 기절기타: 아이폰이다","https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0","Y"
"46","A2221","iphone11","5","11번가","dus****","2020-01-11",\n,"데이터 옮기는것도 간단하고 
주문하고 하루만에 바로 받아서 만족스러웠습니다 
기존 요금제유지하려고 고객센터에 문의 
자주했는데 친절하고 빠르게 처리해주셔서 
어려움없이 쉽게 해결했습니다 
아 그리고 상품 가족이 대리수령하려면 
가족관계증명서나 등본같이 가족인걸 증명할수 
있는 서류 미리 준비해두세요 
저는 다행히 집에 서류가 있어서 괜찮았는데 
모르고있다가 연락받아서 당황했습니다","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"47","A2221","iphone11","5","위메프","sbs*****","2020-08-04","배송도 바로 다음날 받아볼 수 있고 아이폰11pro를 염두해두셨다면 여기서 구입하시는게 가장 저렴하네요.","배송도 바로 다음날 받아볼 수 있고 아이폰11pro를 염두해두셨다면 여기서 구입하시는게 가장 저렴하네요.색상도 미드나잇그린 너무 이쁘고 좋아요.판매자분이 답변도 바로바로 체크해주시니 더 좋았습니다.전 추천코드가 없어서 싸게 사지못했지만 링크 남겨드릴테니 할인 더 받고 구매하세요. 우리모두 앱등이가 되자구요 ㅋㅋhttps://wpay.wemakeprice.com/fs/share/qe4dkp2rd7c6","https://search.shopping.naver.com/catalog/20858385976?NaPm=ct%3Dkmobnkiw%7Cci%3D87bcdbbd94eb27a3dc52aebf592c80839d71a2de%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db2894d5b4f843b2b287356ff24b7aedb5ee0577e","Y"
"48","A2221","iphone11","4","위메프","sm7*****","2019-11-24","바로 개통되는 색상이라 다음날 바로 수령했어요~","바로 개통되는 색상이라 다음날 바로 수령했어요~택배기사님이 아무 연락도 없이 회사 문앞에 그냥 두고간걸 나중에 발견하고 좀 화가나서 배송 별하나 드려요~근데 유심끼고 백업하고 다 잘 되었는데 나중에 설정에서 apple ID 로긴하라며 제 아이디가 아닌 다른 아이디가 한 세번정도 팝업이 뜨더군요.. 이거 새폰 맞나싶은 기분이 드는게... apple 서비스센터를 가바야하는지 좀 고민이 되는군요~","https://search.shopping.naver.com/catalog/20858301696?NaPm=ct%3Dkmobnnm0%7Cci%3D75f88aab10df9911f51d62a0ac6b72d8d0f427e6%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D3e90cde9291ea8a11a2200b93bec9c8fe4d3db4e","Y"
"49","A2221","iphone11","5","11번가","kkw******","2020-08-21",\n,"잘받았습니다 
곧 12가 나올텐데 
폰고장때문에 어쩔수없이 못기다리고 구매했어요 
여러군데 알아봤는데 
아이폰은 큰차이가 없더라구요 
11번가가 제일 조건이 그나마 좋아서 결정했구요 
노트20때문에 개통이 밀려서 
개통하는데 좀 오래걸렸어요 
약간 뒷북이라그런지 사은품도 적어서 아쉽네요ㅠ.. 
그래도 11번가 휴대폰샵은 좋은거같아요 
도움되셨다면 꾹 한번 눌러주세요~","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"50","A2221","iphone11","5","11번가","bes****","2020-04-02",\n,"온가족 할인때문에 기변을 해야해서 자급제랑 계속 할인 비교하고있었는데 여기 휴대폰샵에서 저렴하게 잘샀네요^^ 
실물 보고 실버만 기다렸는데 너무 예뻐요!!!!ㅎㅎㅎㅎ 
기기도 깨끗하고 일주일 쓰는동안 문제도 없어서 만족스럽습니다 오전 결제하고 오후에 받아서 더더욱 좋았구요!! 아 케이스랑 필름 행사 끝난줄 알고 따로 미리 구매해놨었는데 같이 보내주셨더라구요 ㅎㅎㅎ 잘쓰겠습니다!!","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"51","A2221","iphone11","3","하이마트쇼핑몰","k*n*****","2020-07-08","아.. 진짜 딥빡이네요
스마트픽 하","아.. 진짜 딥빡이네요스마트픽 하지마세요.개인간 택배거래해도 물건 뽁뽁이에 싸주는게 예의인데,대기업에서 박스 종이로 싸서 배송 말인지..ㅋ제일 화나는건 폰 뒷면 기스가있고...진심 짜증나요.물건 원해서 산거 맞지만, 다른 업체에서 안사고 롯데라는 대기업이니까 더 서비스 좋을 줄 알고 샀는데 배송 상태도 꽝 진심 짜증납니다.엄마 아이디로 산거라 후기 안쓰려 했는데 화나서 쓰게 만드네요.","https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0","N"
"52","A2221","iphone11","5","11번가","chu********","2017-08-14",\n,"정말 거짓말 안보태고 친절하심 
시원한 물과 아이스 주면서 쉬게 해주고 다 해주려고 하시는데 괜찮다고 제가 하겠다고 왔습니다 
그리고 소비자를 잘 배려해줍니다 기기 완전 새거 받았어요 
사실 S급 이라 해도 조금 안보이는곳 까지 제가 다 확인했는데 그냥 박스랑 그런것만 없는 새것임 
완전 대만족 ㅋㅋㅋㅋㅋ 11번가 사용하며 이렇게 만족 두번째 되는것 같네요 번창하십쇼!","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","N"
"53","A2221","iphone11","5","인터파크","k*r*****","2020-05-07","아이폰짱짱맨","제가 예전에 외국에 머물고 있어서 핸드폰을 어머니 명의로 사용 하고 있었는데 핸드폰 바꿀때 마다  여간 귀찮은 일이 아니였고 본인인증도 신용카드랑 범용 밖에 안되서  당황 그자체였는데 친절하게 설명 해주시고 답변도 잘해주시고 너무 편하게 핸드폰 번호이동 개통 할 수 있었네요 정말 최고예요 ㅠㅠ  다음에 약정 끝나면 여기서 바꾸게 계속 핸드폰 팔아주세요 ㅋㅋㅋ  친절짱짱맨이예요 ㅠㅠ","https://search.shopping.naver.com/catalog/20858274127?NaPm=ct%3Dkmobnm2g%7Cci%3Dd95db462016e1a2839b14aa9439c5d66d16b50f2%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D20128091b84a28484993edef1a69e5baa2c2868c","N"
"54","A2221","iphone11","3","11번가","eg1****","2020-06-12",\n,"배송이 생각보다 오래 걸립니다 
송장 받고 실제 제품은 6일 정도 걸려 늦은 
저녁에 도착. 
로젠 택배의 문제인지 .. 모르겠지만 
구매하실 분은 판매자와 제품 상태 관련 
구매 전 꼼꼼히 문의하고 결정하는 것이 좋습니다 
전시용 가개통 공기계 배터리 성능은 
받은 제품은 97% 입니다 
배터리 성능 상태는 약간의 차이가 있다고 하니 
구매시 참고하세요","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"55","A2221","iphone11","5","11번가","n_a****","2020-01-30",\n,"전에 쓰던 폰이 점점 맛가기 시작해서 
한달여간 살지말지 고민하다가 결국 질렀습니다 >.< 
설날에 주문했는데, 워낙 주문이 밀려서 좀 걸린다고 하더라구요! 
근데 웬열! 주문하고 다다음날 출고되어서 빠르게 받았네요ㅎㅎㅎ 상태도 너무 좋아요 
만든낭짜?! 는 2019. 08로 되있네요 
배터리도 100퍼구요 완전 새폰 같아요 
만족 만족!! 번창하세요","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"56","A2221","iphone11","5","인터파크","i*t*****","2020-05-11","좋네요","목욜날 결제해서 기계는 토욜날 우체국택배로 받고, 개통은 월욜날 신청해서 월욜날 개통완료 됐네요. 레드 색깔 이뿌네요. 단말기 수급에 좀 어려움이 있던 거 같던데 여기저기 알아보고 재고 찾아서 보내주셨네요. 아이폰 7도 레드인데 11도 레드 구해서 갠적으로 만족합니다. 선약 33요금이 품절이라 좀 아쉽긴하지만 그래도 전반적으로 괜찮게 구매했다고 생각합니다. 흥하세요!","https://search.shopping.naver.com/catalog/20858274127?NaPm=ct%3Dkmobnm2g%7Cci%3Dd95db462016e1a2839b14aa9439c5d66d16b50f2%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D20128091b84a28484993edef1a69e5baa2c2868c","Y"
"57","A2221","iphone11","5","11번가","unj***","2018-11-01",\n,"생각보다 빨리 수령했어요. 
아이팟 대용으로도 사용 가능할 예정이라 64기가 구입했답니다. 
리퍼폰 특성상 새제품과 컨디션이 동일하고 여타 액세서리도 벌크지만 챙겨 주셨네요. 
이어폰, 정품 충전기 및 케이블과 매뉴얼이 없지만 감안한 터라 주인공인 단말기가 가장 중요하다고 여겨 만족합니다. 
마지막 4인치 아이폰이라 서브폰으로 아껴 잘 사용할랍니다.","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"58","A2221","iphone11","5","위메프","cje*****","2019-11-18","10월 18일에 구매해서 11월 15일 발송 16일에 수령했어요","10월 18일에 구매해서 11월 15일 발송 16일에 수령했어요ㅠㅠ전국적으로 재고가 부족하단 소리를 들어서취소하려고 고민할때 연락을 받았어요실물은 본적이 없었는데 파스텔톤으로 예쁘네요 ㅎㅎ오래 기다렸지만 저렴한 가격에 잘 샀습니다예전에 사기당한적이 있어서 문의 많이 했는데 다행히 잘 받았습니다 ㅎㅎㅎ배송은 느렷지만 재고 확보하시는대로 바로 보내주시는듯 해요","https://search.shopping.naver.com/catalog/20858301696?NaPm=ct%3Dkmobnnm0%7Cci%3D75f88aab10df9911f51d62a0ac6b72d8d0f427e6%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D3e90cde9291ea8a11a2200b93bec9c8fe4d3db4e","N"
"59","A2221","iphone11",\n,"11번가","wit******","2020-04-04",\n,"구매후 몇일뒤 전화하는데 폰이 갑자기 뜨거워지고 
화면전체가 파랗게 변해서 껏다 켰는데 
오른쪽 모서리에 번인현상이 나타났습니다 
업체에 항의하니까 떨어뜨리면 그럴수 있다고하길래 
그런적없다고 하니까 저희가 고객 과실을 확인 할수없으니까 무상수리나 환불 불가하다네요 
180일 품질보증기간은 왜두고판겁니까?과실확인불가면 고객이책임져야합니까?","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","Y"
"60","A2221","iphone11","5","11번가","eot***","2020-06-04",\n,"제가 옆면 기스는 상관없으니 화면엔 기스 1도없는걸로 달라고했는데 진짜 저부분 빼고 상태좋구요 저거는 케이스 끼면 안보임ㅎ 케이스랑보호필름충전잭까지 주셨어요ㅎㅎ상담도친절하시고 
중고거래하려다 그냥 여기서 샀느테 완전만족해여 가격도저렴하거 @실버 없을줄알앗는데 3일정도기다리니까 바로 배송해주셨어엽ㅎㅎ사운드도 겁나짱짱쓰 b급사실분들 후기참고하세엿","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","Y"
"61","A2221","iphone11","4","위메프","pik*****","2020-07-28","아이폰 12살까하다가","아이폰 12살까하다가11pro 구매했습니다 ㅎㅎ 이쁩니다알뜰폰으로 같이 사용하려고 했는데유심이 누락되어 왔네요 ㅠ.ㅠ판매자 문의드렸더니 바로 재발송 해주셨습니다 :)https://wpay.wemakeprice.com/fs/share/1if135g7pgh80위 링크타고 동일 제품 위메프페이로 구매하시면5% 포인트 적립으로더 저렴하게 구매해보세요 :)♡","https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0","N"
"62","A2221","iphone11","5","11번가","tjw****","2020-10-20",\n,"솔직히 11번가 이런데서 핸드폰첨사바서 너무 불안했는데 카톡으로 연락했더니 성의있게 답변해주셔서 믿음직했습니다 성능 100퍼최대치고 기스난것도확인？L는데 없어요! 모든 마켓다 확인했는데 여기가 젤 싸고 후기가 좋았어요 이참에 공기계구입해서 알뜰폰으로 바꿨더니 요금도싸고 아주 만족합니다!! 할부가 없어서 젤 만족 ㅠ 담부턴 공기계류 사야겠어용","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"63","A2221","iphone11","5","11번가","sht***","2019-10-28",\n,"아이폰 사전예약하고 25일출시일에 맞춰서 핸드폰 받았어요.기기값이 좀더 싼곳도 많았지만 비싼요금제 사용하는게 아니라서동일한요금제 사용하면서 카드할인 10프로에 무이자 22개월이면 괜찮은거같아서 11번가에서 구매했어요. 티다이렉트샵에서 바로 운영하는거라 문제없이 빠르게 처리되서 좋네요. 아이폰 실리콘케이스는 나중에 온다고 해서 기다리고있어요.","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","Y"
"64","A2221","iphone11","4","하이마트쇼핑몰","b*a*****","2019-11-07","상품은 특별히 문제는 없을것 같","상품은 특별히 문제는 없을것 같은데요배송할때 문제가 좀 있네요제품 배송기간이 2,3일 걸리니 기다려달라고 하는건 제 입장에서 충분히 괜찮은데요.실제 화요일 배송된다고 해놓고 수요일 배송해주고 나서 택배 배송 기록에는 화요일 밤에 배송됐다고 택배회사에서 기록하네요. 늦게 오는건 큰 상관 없는데 거짓으로 실적 기록하시는거 같아서 좀 불편합니다","https://search.shopping.naver.com/catalog/20858385976?NaPm=ct%3Dkmobnkiw%7Cci%3D87bcdbbd94eb27a3dc52aebf592c80839d71a2de%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db2894d5b4f843b2b287356ff24b7aedb5ee0577e","N"
"65","A2221","iphone11","5","11번가","wol******","2020-01-21",\n,"첫 아이폰이라 혹시라도 이상있으면 어떻게 해야하나 걱정했는데 그런 걱정 싹 덜어냈습니다. 오히려 전 아이폰에 더 맞나봐요 몇가지 빼고..ㅎ 안드로이드만 약 10년을 쓰다가 이전에 처음 아이폰으로 넘어왔는데 너무 좋습니다. 배터리도 100% 동일 하게 왔고 무상보증도 5월달까지로 되어있어서 안심입니다. 잘 쓰겠습니다. 많이 파세요!","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"66","A2221","iphone11","5","11번가","yon****","2021-03-24",\n,"상품문의 답변에 S급이라도 미세기스 살짝 있을수 있다는 답이 와서 음~이랬는데 미세기스는 ？O기가 힘들고 후면 카메라 주위에 미세먼지는 쫌 있더군요 ^^. 상태 너무 좋아요. 베터리 수명 확인해보니 100%..와우(특S 등급은 없어도 제품은 있는듯요) 아들이 맘에든다고 하네요.. 뽑기 잘해서 보내주셔셔 감사합니다 ^^;;","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","Y"
"67","A2221","iphone11","5","11번가","com*****","2020-01-15",\n,"애플 아이폰 xs 공기계, 스페이스 그레이 구매했어용 !! 2020년 7월까지 품질 보증 기간도 있고 새 폰처럼 완전 깨끗하고 예뻤어요？ 사은품으로 보내주신 강화필름하고 케이스 껴두니까 훨씬 더 예뻐용？？ 다만 무선충전기가 안드로이드 c타입 버전으로 와서 아이폰 충전기로는 사용이 불가해서 조금 아쉬워요ㅠㅠ 잘 쓸게요 ？？","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"68","A2221","iphone11","3","11번가","fre***","2020-06-04",\n,"음 가개통 새제품이란 제품박스 오프하여 사용한 제품이란걸 이번에 처음 알았습니다. 판매자 분께서는 후대폰 몇만대 팔면서 그걸 모르는건 제가 처음이라면 흥분하시더라구요. ㅠㅜ 반품하려다 휴대폰 급히 써야해서 일단 그냥 쓰려구요. 몇만명 중에 한분 저같은 분을 위해 리뷰 남깁니다. 새재품은 아닙니다. 기스도 좀 있습니다.","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","N"
"69","A2221","iphone11","1","애플 공식 브랜드스토어","redt****","2020-10-22","새상품인데  기스가 나있었어요 모서리 부분에요상품 교환하려면 직접가서 검사받아보라더군요제가 직접 박스 채로 들고거서 검사하고 그럴 시간이 없어서요일부러 공식에서 산건데 많이 아쉽네","새상품인데  기스가 나있었어요 모서리 부분에요상품 교환하려면 직접가서 검사받아보라더군요제가 직접 박스 채로 들고거서 검사하고 그럴 시간이 없어서요일부러 공식에서 산건데 많이 아쉽네요그래도 저한테 선택된 폰이니 길들여서 잘 쓰겠습니다그리고 뽁뽁이에만 몇겹 싸여 있는  포장이 좀  아쉅습니다  다들 뽑기  잘하셔야할듯!","https://search.shopping.naver.com/catalog/20858385976?NaPm=ct%3Dkmobnkiw%7Cci%3D87bcdbbd94eb27a3dc52aebf592c80839d71a2de%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db2894d5b4f843b2b287356ff24b7aedb5ee0577e","N"
"70","A2221","iphone11","4","11번가","rai*******","2020-06-30",\n,"핸드폰은 좋아요. 깨끗하고 새것 같아요. 
충전 케이블을 기본으로 주시는거 제외하고 2개 더 구매했는데 3개모두 아이폰 정품충전기에서만 충전되고 다른 USB포트에서는 반응이 없어요. 
또, 발열도 심하고 충전도 느립니다. 
아예 안되는 건 아니라 반품이나 환불받긴 그렇고 충전 케이블은 새로 사야겠네요.","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","Y"
"71","A2221","iphone11","3","11번가","kim******","2020-02-26",\n,"택배는 하루정도 쉬다가 배송받았구요 
기기 자체로 만족은 별4개 이상입니다만 
충전케이블은 쓰레기(불량)를 주셔서 안주느니만도 못한것 같습니다. 통신사 지정이 안된것도 좀ㅜㅜ 
괜히 진상부릴수도(?)있는 구성품ㅋㅋ 
충전기 충전케이블이라도 구성해주면 더 좋앗으련만~ 
아쉽네요~^^ 
 
잘쓸께요","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","N"
"72","A2221","iphone11","4","11번가","lo******","2020-08-09","좋아요","배송빠르고 좋았어요.단, 아이폰이 스크래치있는 초기불량제품이어서 뽑기를 잘못한듯.매우귀찮게 AS센터를 이틀에걸쳐 세번이나 방문함.초기불량 스크래치로 방문익일 제품받으러 재방문OS업데이트 중 벽돌되서 또 방문우여곡절끝에 제품을 받았는데 여튼뭐 애플공홈보다저렴한가격에 잘샀다고 생각함(아쉬운건 골드색깔이 별로...)","https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0","Y"
"73","A2221","iphone11","5","애플 공식 브랜드스토어","dldu****","2020-10-27","중딩    여자아이가  쓰기좋으네요.12로 사준다고해도  11를  선호했답니다.  통신사로  구매하는것보다 10만원정도 싸게 산것 같아요사은품은 없었지만,  통신사 구매는   요금","중딩    여자아이가  쓰기좋으네요.12로 사준다고해도  11를  선호했답니다.  통신사로  구매하는것보다 10만원정도 싸게 산것 같아요사은품은 없었지만,  통신사 구매는   요금제 변경을  요구하더라구요..  기존쓰던 요금제에 저렴하게    이쁜색으로  제주까지  배송비없이  주말끼고 4일만에 도착했습니다","https://search.shopping.naver.com/catalog/20858274131?NaPm=ct%3Dkmobnp5k%7Cci%3D92831164a2714a472de6eb095bb5480564d536aa%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df0ad128ca5f8d88208e576199f26667bb72c6c55","Y"
"74","A2221","iphone11","5","하이마트쇼핑몰","n*v*****","2019-12-26","생각보다 많이 무겁습니다. 범퍼","생각보다 많이 무겁습니다. 범퍼케이스까지 끼우고 쓸 자신이 없어서 그냥 알맹이로 들고다니기로..예쁘기는 엄청 예쁩니다. 미드나잇그린이 인기가 많나요 다른 색상들은 엘포인트 1만점 주는데 얘만 안주네요 아쉽.. 대신 색상이 맘에 쏙 들어서 좋습니다.+뭔 이삼일 사이로 가격이 떨어져요 빡치게","https://search.shopping.naver.com/catalog/20858385976?NaPm=ct%3Dkmobnkiw%7Cci%3D87bcdbbd94eb27a3dc52aebf592c80839d71a2de%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db2894d5b4f843b2b287356ff24b7aedb5ee0577e","Y"
"75","A2221","iphone11","5","인터파크","s*e*****","2021-03-13","아이폰11 128GB 블랙색상","잘 받았습니다. 별다른 귀찮은 제휴조건 같은 것 없이 구매할 수 있는 상품 중에 거의 가장 싸게 산 것 같아요 .제품도 아무 이상 없는 거 같고 잘 쓰겠습니다~ 다만 화이트 색상이 있는 줄 알고 결제했는데 없어서 블랙으로 받게 되어 약간 아쉽기는 했어요 ㅜㅜ 그래도 잘쓸게요. 감사합니다!","https://search.shopping.naver.com/catalog/20858274127?NaPm=ct%3Dkmobnm2g%7Cci%3Dd95db462016e1a2839b14aa9439c5d66d16b50f2%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D20128091b84a28484993edef1a69e5baa2c2868c","Y"
"76","A2221","iphone11","5","11번가","san********","2020-09-06",\n,"배터리 성능이 80%내외라고 명시되어있는데 받고보니 96%로 성능이 아주 좋아서 기분좋았어요 
물론 외관의 스크래치도 없고 새 폰 받은 것 같은 기분이 들 정도이네요 ^^ 
통화할일이 있어 고객센터 직원분과 통화를 할때도 응대를 너무 친절하게 잘해주셔서 매우 만족스러웠어요 ^^","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","Y"
"77","A2221","iphone11","5","11번가","je3************","2019-10-28",\n,"2차 예약으로 많이 기다려야 될줄 알았는데 생각보다 엄청 빨리 26일 오전에 왔어요 에코패키지에 필름이랑 클리어 케이스도 같이 담겨 왔구요 코스메틱 이슈 없이 깨끗하네요 자료 옮기느라 오늘 개통했구요 개통까지 2시간 정도 걸렸고 원래 쓰던 요금제도 그대로 쓸수 있어 좋네요 잘쓸께요","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"78","A2221","iphone11","5","하이마트쇼핑몰","n*v*****","2019-12-26","생각보다 많이 무겁습니다. 범퍼","생각보다 많이 무겁습니다. 범퍼케이스까지 끼우고 쓸 자신이 없어서 그냥 알맹이로 들고다니기로..예쁘기는 엄청 예쁩니다. 미드나잇그린이 인기가 많나요 다른 색상들은 엘포인트 1만점 주는데 얘만 안주네요 아쉽.. 대신 색상이 맘에 쏙 들어서 좋습니다.+ 사흘사이로 가격이 떨어졌네요 빡치게","https://search.shopping.naver.com/catalog/20858385976?NaPm=ct%3Dkmobnkiw%7Cci%3D87bcdbbd94eb27a3dc52aebf592c80839d71a2de%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db2894d5b4f843b2b287356ff24b7aedb5ee0577e","Y"
"79","A2221","iphone11","5","G마켓","k*0*****","2020-11-21","완전 적극적으로 추천합니다","골드로 주문하였는데 품절이라 미드나잇으로 보내주셨습니다~ 추가금 없이 업그레이드 받은 느낌이랄까~ ㅎㅎ~ 친절하게 설명도 해주시고 배송도 출고 다음날 도착했고~ 제품도 20년 4월 제품에 모든게 완벽했습니다~ 하나 맘에 안들었다면 뽁뽁이도 없이 달랑 박스에 폰만 있던게 아쉬었네요~","https://search.shopping.naver.com/catalog/20858389068?NaPm=ct%3Dkmobnizc%7Cci%3D171bbf9c36ef6f6c4f4d3d354fdd57c3cda0e611%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df4168f8d78fa4ac1df375ea39a25b7444ac6b0d0","N"
